distance_km,hour_of_day,day_of_week,traffic_index,is_rain,eta_minutes
2.35,22,1,0.135,0,4.95
15.05,3,2,0.497,0,41.66
6.58,17,0,0.76,1,25.92
4.56,4,0,0.288,0,11.31
0.85,15,6,0.224,0,2.82
0.85,13,4,0.262,0,1.0
0.5,18,3,0.81,0,1.0
10.06,13,2,0.156,0,21.71
4.6,8,1,0.9,0,17.85
6.16,5,6,0.149,0,9.29
0.5,16,5,0.271,0,2.39
17.52,18,0,0.935,0,80.24
8.93,11,0,0.36,0,21.58
1.19,3,0,0.648,1,4.09
1.0,15,3,0.457,0,5.52
1.01,10,3,0.452,0,1.39
1.81,21,2,0.358,0,5.99
3.72,3,5,0.358,1,8.79
2.83,16,1,0.254,0,5.74
1.72,7,3,0.67,0,3.87
4.73,13,4,0.154,0,10.64
0.75,1,3,0.274,0,3.01
1.73,10,0,0.459,0,5.23
2.28,10,1,0.398,0,5.67
3.04,23,2,0.494,0,7.68
7.69,21,3,0.178,0,19.81
1.11,23,0,0.3,0,1.88
3.61,5,6,0.417,0,8.78
4.49,20,4,0.284,0,8.48
0.5,20,4,0.242,0,3.8
4.68,13,6,0.426,0,10.03
0.93,9,2,0.879,1,5.38
0.5,7,2,0.963,0,3.27
14.87,6,3,0.207,0,33.24
16.85,7,2,0.991,1,83.5
8.26,7,5,1.0,1,42.01
1.82,22,5,0.216,0,7.57
0.51,1,0,0.418,1,4.01
5.76,15,0,0.306,0,15.23
2.9,8,0,0.972,0,14.29
0.65,12,5,0.445,0,2.78
3.42,22,3,0.418,0,9.48
0.5,11,3,0.224,0,1.69
12.0,21,2,0.305,0,28.4
1.5,16,3,0.272,0,3.48
5.43,1,0,0.122,0,12.89
1.87,12,1,0.549,1,5.65
3.67,0,0,0.173,0,8.93
3.96,18,5,0.946,0,17.53
1.02,10,6,0.259,0,2.35
17.46,4,1,0.349,0,42.32
7.46,0,2,0.427,0,21.26
14.03,19,4,0.953,0,62.83
11.26,12,6,0.316,0,28.52
4.56,7,3,0.982,1,20.12
12.75,5,3,0.304,0,29.76
0.5,16,5,0.332,0,1.0
1.09,11,0,0.168,0,3.71
0.5,0,0,0.332,0,1.0
1.97,2,1,0.282,0,4.46
2.46,13,3,0.309,0,5.41
1.58,7,6,0.848,0,6.06
8.82,10,5,0.444,1,25.17
2.21,13,6,0.29,0,5.15
1.65,7,2,0.945,0,7.4
3.91,2,0,0.499,1,9.8
0.76,6,6,0.247,0,1.0
8.1,18,3,1.0,1,38.41
0.5,3,4,0.364,1,1.0
21.67,15,5,0.37,1,57.93
7.4,12,1,0.336,0,18.79
1.11,19,0,0.935,0,5.13
0.5,18,0,0.893,0,1.0
8.45,4,2,0.182,0,20.65
6.14,22,0,0.465,0,19.43
6.53,4,5,0.104,0,12.67
7.38,19,3,0.979,0,34.31
0.5,23,3,0.403,0,3.48
2.22,3,3,0.642,1,7.8
0.62,1,4,0.375,0,4.17
9.94,12,4,0.469,0,29.44
4.88,15,0,0.442,0,10.4
2.01,21,6,0.292,0,7.26
0.5,1,4,0.233,0,1.36
1.86,18,6,0.701,0,6.47
1.97,16,6,0.313,0,4.89
6.54,4,4,0.26,1,15.38
5.07,17,2,1.0,1,23.09
10.91,22,4,0.328,0,29.25
3.2,20,1,0.45,0,7.92
0.64,17,1,0.61,0,1.54
6.25,7,6,0.907,0,28.29
7.15,14,1,0.46,0,22.39
4.12,12,0,0.566,1,12.35
7.37,12,3,0.272,0,17.91
3.4,15,2,0.436,0,11.32
3.7,21,0,0.209,0,9.3
2.79,19,3,0.965,1,13.96
0.5,12,2,0.146,0,1.0
0.57,19,6,0.631,0,1.39
0.5,1,2,0.392,0,1.56
5.06,2,2,0.311,1,12.68
1.89,14,1,0.109,0,5.41
3.55,22,1,0.256,0,6.56
11.91,18,1,0.75,0,41.77
1.43,12,2,0.213,0,4.75
2.64,4,5,0.489,0,9.11
7.04,21,2,0.624,1,20.96
1.3,5,1,0.339,0,3.67
0.5,13,2,0.226,0,1.0
1.71,3,1,0.459,0,3.75
0.88,21,1,0.571,1,1.0
13.27,18,1,0.865,1,53.85
8.25,22,6,0.291,0,18.76
5.02,6,6,0.492,0,16.57
10.26,3,5,0.282,0,25.43
8.14,1,3,0.473,0,23.16
1.03,6,2,0.491,0,1.25
11.15,2,0,0.255,0,28.32
3.88,14,1,0.486,0,13.1
8.24,0,5,0.155,0,18.53
11.32,1,0,0.164,0,25.31
1.91,9,6,1.0,1,9.77
0.58,15,3,0.287,0,2.52
1.29,14,2,0.172,0,1.0
2.79,23,6,0.236,0,4.89
8.52,14,5,0.141,0,17.42
9.86,13,1,0.272,0,22.85
0.5,21,1,0.431,0,1.81
3.57,13,1,0.338,0,10.49
2.7,5,5,0.424,0,8.64
1.26,13,6,0.154,0,1.0
0.64,16,0,0.26,0,4.35
2.06,17,3,0.762,0,10.9
14.32,19,2,0.626,0,48.33
1.95,18,3,0.979,0,8.43
3.66,16,6,0.478,1,9.51
6.07,15,1,0.274,1,12.17
2.26,7,3,0.667,0,7.97
17.84,6,0,0.222,0,41.57
16.41,19,4,0.717,0,57.03
1.45,11,6,0.108,0,1.73
3.44,8,4,0.727,0,12.52
1.79,13,2,0.173,0,3.74
1.68,19,2,0.659,0,6.13
0.5,0,3,0.272,0,3.54
4.7,9,2,0.831,0,19.77
3.49,16,6,0.385,0,9.45
0.5,16,5,0.294,0,1.51
1.63,16,0,0.452,0,2.93
11.94,3,1,0.511,1,34.37
1.37,16,1,0.377,0,4.01
0.78,17,3,0.613,0,3.86
3.36,19,1,0.776,0,13.58
21.22,22,3,0.417,0,56.22
1.39,1,2,0.12,0,5.05
5.58,7,2,0.797,1,18.45
7.17,12,5,0.355,0,19.07
1.36,22,5,0.477,1,2.37
6.51,21,0,0.377,1,19.14
2.29,19,1,0.737,0,9.71
5.0,21,6,0.359,0,10.54
5.02,14,5,0.439,1,12.12
3.84,19,0,0.818,0,12.48
0.5,22,4,0.117,0,2.21
9.02,8,5,0.897,0,39.72
1.93,2,0,0.151,0,5.61
1.03,2,3,0.472,0,1.0
0.5,1,3,0.16,0,1.0
4.47,0,0,0.263,1,11.71
5.66,13,2,0.205,0,14.82
0.5,16,4,0.32,1,1.0
3.59,12,0,0.416,0,10.0
1.28,18,5,0.703,0,5.62
5.18,22,2,0.348,1,15.41
0.96,14,0,0.498,0,1.0
5.87,13,1,0.16,0,12.67
2.44,1,5,0.134,0,3.03
13.8,6,5,0.222,0,32.54
0.74,16,3,0.412,1,1.0
2.09,17,1,0.944,0,9.61
0.6,5,1,0.482,0,1.87
12.93,20,5,0.405,0,32.96
10.49,7,4,0.706,0,37.9
1.49,1,6,0.497,0,4.6
5.39,0,2,0.406,0,14.33
8.5,15,3,0.156,0,17.71
4.05,6,1,0.285,0,9.47
3.77,21,3,0.301,0,7.85
1.38,23,5,0.222,0,2.72
0.5,10,2,0.316,1,1.25
11.38,14,0,0.385,0,33.47
11.53,12,1,0.361,1,29.33
5.01,23,2,0.35,0,11.62
2.07,1,6,0.229,0,2.87
2.15,13,3,0.302,0,6.21
6.47,23,5,0.235,0,13.5
11.37,5,2,0.265,0,27.61
10.91,8,0,0.798,0,43.92
7.57,6,2,0.454,0,21.93
5.14,17,5,0.602,0,14.68
0.5,23,3,0.344,0,1.62
0.88,8,1,0.688,0,4.94
11.44,22,6,0.157,0,25.77
4.66,3,6,0.165,0,10.04
0.5,8,1,0.768,0,3.2
0.53,3,4,0.224,0,1.99
5.45,11,3,0.495,0,15.69
0.5,3,6,0.326,0,2.26
0.88,23,4,0.31,0,2.59
3.98,19,4,0.724,0,13.37
5.89,13,5,0.45,0,16.42
5.28,23,5,0.197,0,11.58
1.27,23,5,0.304,0,4.84
6.23,6,0,0.208,0,13.83
1.35,12,3,0.562,1,3.68
1.97,21,1,0.411,0,6.46
6.86,7,3,0.625,0,21.6
5.24,22,5,0.429,1,14.26
9.46,4,0,0.163,0,20.46
5.36,11,3,0.459,0,13.61
4.2,12,3,0.606,1,12.76
0.5,19,4,1.0,1,1.58
2.29,13,3,0.211,0,9.36
1.54,17,4,0.898,0,6.26
1.4,23,4,0.281,0,2.65
18.06,19,2,0.866,0,76.52
2.5,3,5,0.308,1,7.35
11.13,20,6,0.38,0,27.48
4.99,17,0,1.0,1,25.28
7.92,6,4,0.178,0,17.34
3.49,14,3,0.235,0,8.56
4.3,20,4,0.313,0,10.19
3.39,5,4,0.469,0,6.34
1.09,15,4,0.351,0,3.58
6.41,19,1,0.756,1,24.13
1.65,23,6,0.143,0,1.76
0.5,7,6,0.963,0,3.86
5.18,20,1,0.302,1,14.16
0.97,15,1,0.288,1,4.16
14.11,21,1,0.481,1,37.32
15.39,15,6,0.281,0,38.28
12.32,2,2,0.102,0,24.97
2.31,16,4,0.24,0,3.57
0.5,8,2,0.882,0,1.35
13.18,2,3,0.645,1,42.66
2.79,19,6,0.627,0,8.19
17.0,6,5,0.27,0,42.38
16.57,17,6,0.854,0,66.4
9.59,11,0,0.393,1,26.55
1.74,18,2,0.757,1,5.75
2.43,15,1,0.462,0,6.87
9.52,21,1,0.3,0,22.8
1.91,23,3,0.253,0,3.28
0.93,16,4,0.309,0,1.03
4.07,19,0,0.859,0,14.84
13.76,14,2,0.439,0,35.25
5.95,0,4,0.258,0,13.83
4.22,1,4,0.121,0,11.16
0.51,7,5,0.793,0,1.0
4.77,21,5,0.645,1,15.83
23.05,1,2,0.592,1,71.26
0.75,18,2,0.944,1,5.42
3.65,8,2,1.0,1,18.98
10.49,8,2,0.937,0,46.94
6.75,12,1,0.133,0,12.88
5.97,5,6,0.298,0,11.64
6.06,14,6,0.248,0,13.1
2.23,18,4,0.962,0,13.78
1.74,20,6,0.164,0,2.97
8.29,14,4,0.416,0,19.25
8.31,17,1,0.712,0,26.54
10.09,6,6,0.381,0,28.53
12.22,10,4,0.218,0,27.45
3.58,7,2,0.652,0,12.36
3.48,5,0,0.369,0,9.41
8.0,7,6,0.792,0,29.57
5.25,1,5,0.194,0,11.17
6.05,18,5,0.938,0,26.28
7.94,15,4,0.209,0,15.42
11.04,6,0,0.175,0,26.19
2.06,9,5,0.821,0,9.33
2.35,11,6,0.54,1,6.94
0.5,16,0,0.195,0,1.25
4.32,6,1,0.314,0,12.12
0.5,21,3,0.365,0,1.0
3.13,7,4,0.972,0,15.8
3.91,6,1,0.571,1,13.45
1.69,3,1,0.268,0,6.86
4.47,2,0,0.438,0,13.51
0.5,18,4,0.976,0,4.81
0.5,14,1,0.152,0,1.0
8.65,3,2,0.236,0,20.18
2.23,8,1,0.653,0,6.13
0.68,12,2,0.482,0,1.0
3.69,17,3,0.815,0,15.87
7.35,20,2,0.356,0,19.33
1.22,15,2,0.291,0,3.74
4.88,0,0,0.165,0,8.52
0.5,3,1,0.141,0,1.84
0.5,17,3,0.802,1,3.98
3.79,7,1,0.738,0,14.28
3.89,19,6,0.958,0,16.85
5.07,15,6,0.37,0,12.99
6.47,20,2,0.328,0,18.26
18.62,10,5,0.476,0,52.61
3.63,19,2,0.613,0,13.4
1.95,20,1,0.336,0,7.77
7.93,20,3,0.416,1,20.85
1.58,20,5,0.205,0,2.01
2.89,18,3,0.948,0,12.67
0.5,22,0,0.218,0,4.05
0.5,18,2,0.777,0,3.14
16.44,17,2,0.813,0,64.54
9.04,18,6,0.852,0,38.63
5.95,10,0,0.413,0,15.16
2.63,2,6,0.221,0,5.59
0.95,7,1,0.621,0,1.99
0.85,19,2,0.946,0,7.21
1.44,18,1,0.688,0,5.2
3.98,9,3,0.984,1,19.3
6.27,15,5,0.334,1,16.02
5.4,4,5,0.416,0,14.25
1.64,19,5,1.0,1,6.94
15.49,8,6,0.946,0,73.31
6.7,7,4,0.714,0,20.91
4.04,10,0,0.185,0,9.41
4.73,15,5,0.457,0,13.99
