trip_amount,trip_distance_km,payment_method,num_trips_last_hour,avg_trip_amount,distance_from_usual_area_km,time_since_last_trip_min,is_fraud
136876,1.29,0,0,40033,6.43,38.78,0
135042,3.25,0,0,141496,2.83,376.95,0
37340,0.5,0,2,67955,5.85,247.1,0
156564,6.14,0,1,71230,8.23,228.17,0
65155,1.72,2,1,135365,0.49,418.35,0
143080,3.58,0,2,125796,3.67,74.66,0
61223,0.61,1,0,29260,1.96,442.27,0
87559,0.5,1,1,27718,3.99,52.39,0
75974,2.15,1,2,130089,4.51,186.19,0
126725,5.58,2,0,34963,9.22,210.56,0
130099,2.99,0,1,79589,2.94,412.43,0
111467,6.16,0,1,39117,1.41,353.03,0
42594,5.31,0,0,76866,1.38,420.06,0
134393,6.2,2,2,46826,7.62,46.72,0
59228,9.59,1,0,102721,4.65,327.11,0
94130,1.57,1,2,31004,9.62,439.82,0
197215,0.5,1,2,107461,4.34,170.85,0
171413,0.5,0,1,88560,9.75,26.96,0
65917,1.23,2,2,98867,6.0,390.29,0
55426,0.58,1,1,65613,8.56,388.8,0
120054,1.68,0,1,141344,6.44,54.82,0
31130,4.61,0,0,33195,3.54,141.51,0
103788,7.27,0,1,136366,0.54,86.94,0
99194,0.85,0,2,91339,0.76,237.75,0
198905,4.28,2,2,130097,2.42,39.54,0
20861,11.35,0,2,124518,4.74,67.04,0
177079,6.79,0,1,51940,4.93,179.8,0
187835,0.84,1,0,47963,6.32,113.48,0
134805,5.15,2,2,84385,2.44,386.06,0
114964,3.26,0,0,112393,6.8,78.27,0
41612,1.44,0,0,64204,9.43,253.66,0
141358,3.75,0,0,136045,7.7,203.55,0
152725,0.88,2,2,64154,8.85,146.79,0
142631,1.9,0,2,25394,5.01,277.72,0
29759,2.22,0,1,115922,6.89,199.57,0
160480,2.04,2,2,41225,6.68,237.51,0
57266,0.5,0,0,139248,7.53,388.46,0
63555,2.68,2,1,105344,1.54,362.12,0
87431,9.24,2,2,59196,3.32,31.51,0
