distance_km,driver_rating,acceptance_rate,avg_response_time_sec,completed_trips,eta_minutes,price_estimate,match_score
2.88,4.29,0.924,74.7,1772,6.86,39410,0.7577
4.21,4.56,0.712,27.2,643,12.65,52198,0.8256
6.44,3.11,0.528,48.1,315,12.68,64073,0.4373
2.05,3.18,0.931,68.4,143,7.55,19807,0.4475
1.8,3.51,0.512,85.1,1608,3.74,16882,0.5697
5.88,3.07,0.77,93.0,511,15.57,84224,0.4668
1.84,3.57,0.786,8.1,905,6.26,20899,0.7341
4.48,4.28,0.527,70.0,789,11.11,41634,0.6858
1.18,4.94,0.722,107.4,57,5.3,15426,0.6296
8.65,4.94,0.921,57.1,1561,20.58,101605,0.7009
9.92,3.76,0.929,71.8,836,23.88,119853,0.4524
3.94,3.74,0.702,93.0,470,8.74,53061,0.4677
4.44,4.4,0.63,26.8,1910,12.34,39448,0.8138
1.44,3.12,0.665,29.1,1942,1.34,15880,0.6458
2.15,3.98,0.516,118.8,207,4.06,24882,0.5361
4.18,3.96,0.553,49.6,1846,11.81,59021,0.6658
2.4,4.05,0.545,30.8,546,7.85,20667,0.7047
4.13,3.63,0.656,18.2,1730,8.07,57870,0.5739
3.3,3.62,0.84,67.5,1166,9.69,42951,0.5448
1.27,3.13,0.92,33.2,1977,5.41,12081,0.7411
1.02,3.24,0.607,56.0,1425,4.27,11128,0.5472
5.5,4.33,0.875,114.4,453,15.8,55155,0.5286
1.3,4.2,0.871,79.5,889,3.05,11552,0.7003
9.42,4.45,0.821,108.2,1194,20.42,119916,0.586
0.49,4.85,0.605,58.4,1666,1.63,3979,0.827
5.96,3.11,0.983,107.7,1074,14.96,77936,0.5068
3.71,3.55,0.69,99.7,1355,9.38,41718,0.55
5.3,4.62,0.631,43.9,1066,11.99,73326,0.6644
6.21,4.82,0.783,83.6,804,14.93,57867,0.6782
1.51,3.63,0.521,93.9,953,3.47,14750,0.5142
1.34,4.43,0.515,95.2,1156,3.58,17457,0.6549
1.21,3.64,0.538,56.9,1497,3.55,16721,0.6437
2.34,4.15,0.731,91.3,791,1.0,21379,0.5854
0.2,3.55,0.585,75.1,1856,1.67,1620,0.7044
1.24,4.42,0.872,116.9,1231,2.89,18252,0.7132
2.66,4.44,0.966,14.7,322,8.84,37418,0.7877
4.53,3.75,0.971,69.6,1903,13.42,59901,0.5959
0.21,4.2,0.508,58.4,1995,1.15,1868,0.7413
0.76,3.66,0.601,14.8,606,1.0,7042,0.7547
2.83,3.51,0.68,55.2,219,5.82,35671,0.5507
5.89,4.96,0.825,96.7,681,13.62,75725,0.6254
3.47,4.74,0.937,24.5,1054,9.89,43004,0.8267
4.53,3.81,0.982,15.3,1093,11.0,62538,0.6801
0.26,3.26,0.566,104.6,1704,1.0,2541,0.5028
0.2,4.57,0.583,92.0,1701,3.78,2799,0.7313
1.96,3.12,0.503,82.5,234,2.14,15951,0.4192
0.33,4.7,0.913,112.1,1807,1.0,3036,0.7679
4.54,3.63,0.926,68.1,1483,11.43,56700,0.5078
0.71,3.8,0.971,60.5,1237,3.21,6661,0.7233
8.98,3.59,0.631,112.0,503,23.2,86003,0.2918
0.48,3.51,0.77,39.2,213,1.0,5356,0.587
0.51,4.36,0.787,96.9,704,1.0,5978,0.693
4.32,3.46,0.925,62.3,1171,12.67,59938,0.5609
0.57,4.18,0.755,39.5,141,1.0,8352,0.6624
3.25,4.74,0.714,15.9,1654,8.64,26540,0.8725
6.52,4.45,0.66,106.8,1227,19.63,55225,0.561
0.28,4.82,0.931,20.1,693,1.0,2334,0.8992
6.71,4.82,0.541,72.4,461,17.02,99515,0.5826
4.92,3.15,0.547,113.1,748,11.48,64721,0.4521
8.23,3.83,0.889,102.4,1971,21.54,94694,0.4731
6.32,4.84,0.975,103.0,1175,18.1,81778,0.6961
0.83,4.38,0.854,81.3,313,2.62,10087,0.6677
2.04,4.76,0.634,96.7,932,3.47,27036,0.8052
1.37,4.6,0.628,14.4,486,1.05,13099,0.7692
2.71,4.72,0.753,90.3,1277,4.07,39110,0.7755
3.62,3.14,0.792,72.5,1245,7.86,48510,0.5254
9.42,4.16,0.587,86.4,699,23.95,114587,0.5918
2.72,4.92,0.874,96.3,1248,5.98,22647,0.7907
1.29,3.76,0.584,56.9,875,2.62,12650,0.5888
4.55,4.05,0.87,60.8,1914,8.69,60309,0.7046
0.6,3.13,0.831,43.8,1594,4.74,5362,0.6059
0.42,4.7,0.851,48.4,66,5.91,3491,0.7591
4.28,3.84,0.981,53.7,289,6.59,50184,0.6367
1.19,3.43,0.978,73.0,1499,2.02,11773,0.6898
1.37,3.34,0.977,63.6,339,1.0,19685,0.5908
4.03,4.97,0.76,103.1,1943,9.0,39738,0.7262
1.76,3.61,0.588,68.4,346,3.46,20213,0.4669
5.21,4.35,0.994,31.9,29,11.85,66990,0.6848
2.85,4.47,0.609,40.4,1615,7.97,28696,0.7835
0.2,3.59,0.53,17.7,660,4.18,2596,0.6469
2.48,3.27,0.662,22.6,1007,7.72,29179,0.5778
0.36,4.8,0.73,56.3,845,1.0,3945,0.8609
5.07,4.37,0.821,107.3,1402,12.21,71901,0.6341
2.28,3.07,0.591,72.7,918,5.77,33596,0.5052
0.98,4.03,0.598,7.2,481,5.68,12175,0.6682
1.14,3.97,0.853,18.8,821,1.0,11605,0.7643
1.28,3.18,0.597,119.2,135,3.14,18505,0.3303
11.0,4.58,0.747,106.0,258,26.33,128900,0.4542
