demand_index,supply_ratio,hour_of_day,is_holiday,is_event,surge_multiplier
2.453,0.469,1,0,0,1.706
2.667,0.425,11,0,0,1.608
2.035,0.167,10,0,0,1.782
2.303,0.656,6,0,0,1.43
0.18,0.217,15,0,0,1.362
4.629,0.882,14,0,0,1.6
0.153,0.874,23,0,0,1.196
3.864,0.165,4,0,0,1.882
1.491,0.472,16,0,0,1.326
0.561,0.529,7,0,0,1.338
3.048,0.996,18,0,0,1.681
3.535,0.326,20,0,0,1.898
3.151,0.672,22,0,0,1.593
2.88,0.511,6,0,0,1.65
2.681,0.792,6,0,0,1.458
2.705,0.324,12,0,1,2.035
4.327,0.713,17,0,0,1.986
0.451,0.217,17,0,0,1.595
0.787,0.114,2,0,0,1.651
4.063,0.116,5,0,0,2.138
1.515,0.543,15,0,0,1.224
3.858,0.794,9,0,0,1.677
1.763,0.62,1,0,0,1.463
4.627,0.133,12,0,0,2.038
1.407,0.597,6,0,0,1.352
2.134,0.202,12,0,0,1.849
0.794,0.969,8,1,0,1.69
3.333,0.417,1,0,0,1.89
2.014,0.553,7,0,0,1.652
4.706,0.405,7,0,0,2.034
0.079,0.52,7,0,0,1.29
1.938,0.963,1,0,0,1.271
0.118,0.334,14,1,0,1.285
1.645,0.746,2,0,0,1.35
1.901,0.78,19,0,0,1.76
1.291,0.272,13,0,0,1.477
1.278,0.756,21,0,0,1.346
1.3,0.683,1,1,0,1.591
1.331,0.362,4,0,0,1.479
1.411,0.57,8,0,0,1.684
4.256,0.631,21,0,0,1.622
0.195,0.853,7,0,0,1.2
4.945,0.212,1,0,0,2.104
1.408,0.975,3,0,0,1.206
0.14,0.792,21,0,0,1.116
0.876,0.581,19,0,0,1.323
4.709,0.799,17,0,0,1.905
4.988,0.76,22,0,0,1.864
1.234,0.514,1,0,0,1.36
1.127,0.402,11,1,0,1.593
4.18,0.99,5,0,0,1.57
4.571,0.896,1,0,0,1.549
3.252,0.956,20,0,0,1.656
4.679,0.144,11,0,0,1.975
4.75,0.834,23,0,0,1.434
3.798,0.902,2,0,0,1.523
1.744,0.529,14,0,0,1.491
0.747,0.902,20,0,0,1.103
2.588,0.191,18,0,0,2.085
1.448,0.154,18,0,0,1.891
0.593,0.362,16,0,1,1.759
1.97,0.124,13,0,0,1.881
2.399,0.716,1,0,0,1.409
3.31,0.934,22,0,0,1.378
1.106,0.366,13,0,0,1.25
4.342,0.694,3,0,0,1.529
0.927,0.521,13,0,0,1.552
4.986,0.33,10,0,0,1.829
2.784,0.927,11,0,0,1.312
0.734,0.962,12,0,0,1.295
4.172,0.221,10,0,0,1.879
1.269,0.79,16,0,0,1.314
0.942,0.27,3,0,0,1.469
0.674,0.539,15,0,0,1.389
2.754,0.425,23,0,0,1.465
4.397,0.32,5,0,0,1.945
4.486,0.708,5,1,0,1.969
3.928,0.87,17,0,0,1.717
2.907,0.803,20,1,0,1.671
2.649,0.75,23,0,0,1.426
1.869,0.16,19,0,0,1.95
0.22,0.188,6,0,0,1.406
4.183,0.518,14,1,0,2.1
4.997,0.6,8,0,0,1.827
4.604,0.751,4,0,1,2.287
4.665,0.42,1,0,0,1.837
1.666,0.121,1,1,0,2.134
0.497,0.132,7,0,0,1.622
4.358,0.869,23,0,0,1.478
3.819,0.216,7,0,0,2.12
1.952,0.943,4,0,0,1.373
4.168,0.399,17,0,1,2.385
0.694,0.625,15,0,0,1.333
3.255,0.252,10,0,0,1.796
4.767,0.509,13,1,0,2.038
4.552,0.888,7,0,0,1.848
3.804,0.986,19,1,0,2.055
1.333,0.79,9,0,0,1.332
0.513,0.788,21,0,0,1.225
1.624,0.897,10,0,0,1.311
3.087,0.32,22,0,0,1.656
1.583,0.763,18,0,0,1.54
2.066,0.603,17,0,0,1.612
2.018,0.336,17,0,0,1.79
1.679,0.15,18,0,0,1.931
4.617,0.281,6,0,0,1.917
1.6,0.685,7,0,0,1.405
4.968,0.613,14,0,0,1.677
1.047,0.162,15,0,0,1.584
4.363,0.606,19,0,0,2.052
3.662,0.452,18,0,0,1.661
3.344,0.113,10,0,0,2.093
2.227,0.919,6,1,0,1.71
4.083,0.333,18,0,0,2.044
2.461,0.598,23,0,0,1.441
0.678,0.63,19,0,0,1.449
1.402,0.549,15,0,0,1.391
0.912,0.316,7,0,0,1.954
2.848,0.467,17,0,0,1.752
3.277,0.361,23,1,0,1.907
1.68,0.49,7,0,0,1.842
0.198,0.174,12,0,0,1.253
3.294,0.249,9,0,0,2.037
0.31,0.224,18,0,0,1.566
4.828,0.636,17,0,0,1.849
4.436,0.69,22,0,0,1.556
4.154,0.923,9,0,0,1.722
1.838,0.336,0,0,0,1.469
3.725,0.454,4,0,0,1.515
0.229,0.66,2,0,0,1.004
0.448,0.975,8,0,0,1.076
2.473,0.452,7,0,0,1.718
2.934,0.361,15,0,0,1.606
3.835,0.449,9,0,0,1.931
1.489,0.378,18,1,0,1.986
2.713,0.177,13,0,0,1.809
0.313,0.411,22,0,1,1.784
2.354,0.627,4,0,0,1.422
3.356,0.265,5,0,0,1.664
4.948,0.85,7,0,0,1.52
3.84,0.762,10,0,0,1.539
4.977,0.603,7,0,0,1.858
2.49,0.764,22,0,0,1.559
2.165,0.385,12,0,0,1.474
4.171,0.28,0,0,1,2.395
2.312,0.858,16,0,0,1.141
3.781,0.837,15,1,0,1.68
4.973,0.762,21,0,0,1.64
3.623,0.331,8,0,0,2.005
0.072,0.409,7,0,0,1.081
0.901,0.443,0,0,0,1.249
1.381,0.266,7,0,0,1.742
4.111,0.784,4,1,0,1.837
4.661,0.266,17,0,0,2.12
3.248,0.3,6,0,0,1.824
0.44,0.143,17,0,0,1.478
2.498,0.697,15,0,0,1.498
4.295,0.936,11,0,0,1.442
1.811,0.535,3,0,0,1.473
0.326,0.908,12,0,0,1.045
3.898,0.857,10,0,0,1.619
3.286,0.815,15,0,0,1.54
2.335,0.251,11,0,0,1.59
4.249,0.44,13,0,0,1.536
4.249,0.697,15,0,0,1.703
3.505,0.41,19,0,0,1.8
4.712,0.74,20,0,0,1.536
2.27,0.359,21,0,0,1.665
3.645,0.453,17,1,0,2.052
4.153,0.758,7,0,0,1.777
3.178,0.206,2,0,0,1.828
2.766,0.808,6,1,0,1.735
3.66,0.741,19,0,0,1.851
1.773,0.505,9,0,0,1.694
1.832,0.494,10,0,0,1.558
4.883,0.916,19,0,0,1.726
0.594,0.745,0,0,0,1.102
4.21,0.658,10,1,0,2.0
3.944,0.878,4,0,0,1.451
0.271,0.398,21,0,0,1.165
3.518,0.358,12,0,0,1.749
0.469,0.289,15,0,0,1.206
1.053,0.568,10,0,0,1.234
4.791,0.989,4,0,0,1.5
1.811,0.936,5,0,0,1.395
0.284,0.51,2,0,0,1.165
2.606,0.2,1,0,0,1.643
1.032,0.887,20,1,0,1.725
2.132,0.93,5,0,0,1.393
0.508,0.254,9,0,0,1.479
0.48,0.895,5,1,0,1.412
2.521,0.502,20,0,0,1.51
1.679,0.11,1,0,0,1.774
0.776,0.949,16,0,0,1.295
2.902,0.139,21,0,0,2.144
0.311,0.131,0,0,0,1.298
3.764,0.967,0,1,0,1.728
0.257,0.293,5,0,0,1.175
4.852,0.6,16,0,0,1.52
3.678,0.948,1,0,0,1.526
4.486,0.946,16,0,0,1.54
2.2,0.257,15,0,0,1.682
0.29,0.562,6,0,0,1.0
1.147,0.106,3,0,0,1.49
4.855,0.181,12,0,0,1.945
3.094,0.953,19,0,0,1.698
1.139,0.474,3,0,0,1.185
2.414,0.235,4,0,1,2.305
1.587,0.668,15,0,0,1.331
2.449,0.256,8,0,0,1.814
4.183,0.982,10,0,0,1.504
1.113,0.704,11,0,0,1.152
1.995,0.432,13,0,0,1.258
2.23,0.443,14,0,0,1.654
2.935,0.925,4,0,0,1.421
0.389,0.906,9,0,0,1.234
1.035,0.955,17,0,0,1.361
1.989,0.508,7,1,0,1.895
4.047,0.866,7,0,0,1.683
0.934,0.536,3,0,0,1.288
4.408,0.67,18,0,1,2.373
1.696,0.557,10,0,0,1.346
1.269,0.647,5,0,0,1.217
2.047,0.559,0,0,0,1.404
2.769,0.239,21,0,0,1.994
3.67,0.198,4,1,0,2.194
2.385,0.947,0,0,0,1.415
4.09,0.559,21,0,0,1.605
4.094,0.948,2,0,0,1.672
0.009,0.717,23,0,1,1.59
3.958,0.18,2,0,0,1.821
2.214,0.281,2,0,0,1.661
4.835,0.791,6,0,0,1.547
4.101,0.26,0,1,0,2.176
1.92,0.107,9,0,0,2.157
3.173,0.201,23,0,0,1.711
0.971,0.529,19,0,0,1.545
1.452,0.247,4,0,0,1.488
1.011,0.141,20,0,0,1.755
3.756,0.769,15,0,0,1.625
0.041,0.975,15,0,1,1.313
2.036,0.981,3,0,0,1.222
4.188,0.91,16,0,1,1.88
3.545,0.117,12,0,0,2.003
2.109,0.316,2,0,0,1.633
3.165,0.224,7,0,0,2.082
2.159,0.676,1,0,0,1.402
4.22,0.865,23,0,0,1.5
2.863,0.615,10,0,0,1.544
3.163,0.412,3,0,0,1.957
4.943,0.921,7,0,0,1.601
3.851,0.555,12,0,0,1.429
1.43,0.257,23,0,0,1.501
3.865,0.58,3,0,0,1.535
4.642,0.116,1,1,0,2.316
1.475,0.135,7,0,0,1.924
4.086,0.665,22,0,1,1.969
1.189,0.751,17,0,0,1.423
2.17,0.224,6,0,0,1.669
3.451,0.58,16,0,0,1.55
1.218,0.795,13,0,0,1.262
0.936,0.894,21,0,0,1.198
2.313,0.527,6,0,0,1.42
3.916,0.21,12,0,0,1.855
2.979,0.162,1,0,0,1.871
3.506,0.871,11,0,0,1.578
3.446,0.17,1,0,0,1.753
2.722,0.836,7,0,0,1.634
1.578,0.493,17,0,0,1.642
2.109,0.493,1,0,0,1.513
1.903,0.567,20,0,0,1.461
0.395,0.222,3,0,0,1.167
4.492,0.768,16,1,0,1.89
3.209,0.37,13,0,0,1.684
4.286,0.638,7,0,0,1.864
3.88,0.105,3,0,0,2.048
0.341,0.353,15,0,0,1.145
1.082,0.136,8,0,0,1.938
4.754,0.382,17,0,0,1.85
2.31,0.214,17,0,0,1.791
4.06,0.163,21,0,0,1.835
2.877,0.863,12,0,0,1.472
4.118,0.428,10,0,0,1.63
3.673,0.843,1,0,0,1.49
1.399,0.903,1,0,0,1.417
4.956,0.555,21,0,0,1.566
2.453,0.611,21,0,0,1.31
2.925,0.682,23,0,0,1.579
2.702,0.68,10,0,0,1.394
4.426,0.577,12,0,0,1.526
1.399,0.635,14,0,0,1.335
0.309,0.497,15,0,0,1.124
2.14,0.925,15,0,0,1.271
4.592,0.749,16,0,0,1.642
2.197,0.383,16,0,0,1.487
1.388,0.402,6,0,0,1.36
3.092,0.51,8,0,0,1.595
3.688,0.128,22,0,0,1.75
2.314,0.992,3,0,0,1.383
1.9,0.521,14,0,0,1.324
1.823,0.798,10,0,0,1.339
2.107,0.242,5,0,0,1.863
4.213,0.648,0,0,0,1.647
2.413,0.444,21,1,0,1.856
1.572,0.901,21,0,0,1.343
0.912,0.939,0,1,0,1.718
1.413,0.662,23,0,0,1.151
2.314,0.155,4,0,0,1.8
2.739,0.52,3,0,0,1.693
3.107,0.115,13,0,0,2.006
0.357,0.566,9,0,0,1.465
3.066,0.551,0,0,0,1.497
1.76,0.476,20,0,0,1.334
1.285,0.403,11,0,0,1.615
1.655,0.621,16,0,0,1.394
3.922,0.259,2,0,1,2.406
4.016,0.124,9,0,0,2.319
0.519,0.808,0,0,0,1.275
2.473,0.807,18,1,0,1.947
2.647,0.621,17,1,0,2.028
0.151,0.847,12,0,0,1.098
3.585,0.562,19,0,0,1.731
1.834,0.106,22,0,0,1.952
2.09,0.233,16,0,0,1.621
3.05,0.514,22,0,0,1.687
2.345,0.876,21,0,0,1.468
3.74,0.303,3,0,0,1.548
2.979,0.131,8,0,0,2.21
1.13,0.471,22,0,0,1.386
4.352,0.16,9,0,0,2.318
1.079,0.595,9,0,0,1.68
3.568,0.15,14,0,0,1.955
3.961,0.115,4,0,0,2.082
3.441,0.949,17,0,0,1.529
2.109,0.699,10,0,0,1.397
4.39,0.208,12,0,0,2.081
1.638,0.601,16,0,0,1.391
3.435,0.333,17,0,0,2.013
4.388,0.785,15,0,0,1.56
0.777,0.833,17,0,0,1.384
3.263,0.557,4,0,0,1.631
4.505,0.469,7,0,0,1.612
0.515,0.385,23,0,0,1.287
0.729,0.13,13,0,1,1.823
1.891,0.605,19,0,0,1.613
4.972,0.558,12,0,0,1.6
1.12,0.292,22,0,0,1.349
1.624,0.579,8,0,0,1.745
4.175,0.521,22,0,0,1.767
0.654,0.335,0,0,0,1.283
4.981,0.769,21,0,0,1.838
3.694,0.321,17,0,0,2.049
4.796,0.506,6,1,0,1.984
0.722,0.58,8,0,0,1.251
1.162,0.83,6,1,0,1.551
1.854,0.478,7,1,0,1.907
0.255,0.286,17,0,0,1.34
0.303,0.113,20,0,0,1.414
4.519,0.327,9,0,0,1.938
0.214,0.775,16,0,0,1.204
